x,y,hazard_interactions,healing_interactions
25,25,0,0
25,75,0,0
25,125,0,0
25,175,0,0
25,225,0,0
25,275,0,0
25,325,0,83
25,375,0,479
25,425,0,554
25,475,0,382
25,525,0,0
25,575,0,0
25,625,0,0
25,675,0,0
25,725,0,0
25,775,0,0
25,825,0,0
25,875,0,0
25,925,0,0
25,975,0,0
75,25,0,0
75,75,0,18
75,125,0,14
75,175,0,0
75,225,0,0
75,275,0,0
75,325,0,0
75,375,0,0
75,425,0,0
75,475,0,172
75,525,0,0
75,575,0,0
75,625,0,0
75,675,0,0
75,725,0,0
75,775,0,0
75,825,0,0
75,875,0,0
75,925,0,0
75,975,0,0
125,25,0,0
125,75,0,0
125,125,0,7
125,175,0,20
125,225,0,7
125,275,0,0
125,325,0,0
125,375,0,0
125,425,0,0
125,475,0,0
125,525,0,132
125,575,0,0
125,625,0,0
125,675,0,0
125,725,0,0
125,775,0,0
125,825,0,0
125,875,0,0
125,925,0,0
125,975,0,0
175,25,0,0
175,75,0,0
175,125,0,0
175,175,0,0
175,225,0,13
175,275,14,0
175,325,0,0
175,375,0,0
175,425,0,0
175,475,0,0
175,525,0,27
175,575,0,0
175,625,0,0
175,675,0,0
175,725,0,0
175,775,0,0
175,825,0,0
175,875,0,0
175,925,0,0
175,975,0,0
225,25,0,0
225,75,0,0
225,125,0,0
225,175,0,0
225,225,0,0
225,275,0,0
225,325,0,0
225,375,0,0
225,425,0,0
225,475,0,0
225,525,0,24
225,575,0,3
225,625,0,0
225,675,0,0
225,725,0,0
225,775,0,0
225,825,0,0
225,875,0,0
225,925,0,0
225,975,0,0
275,25,0,0
275,75,0,0
275,125,0,0
275,175,0,0
275,225,0,0
275,275,0,0
275,325,0,0
275,375,0,0
275,425,0,0
275,475,0,0
275,525,0,6
275,575,0,19
275,625,0,0
275,675,0,0
275,725,0,0
275,775,0,0
275,825,0,0
275,875,0,0
275,925,0,0
275,975,0,0
325,25,0,0
325,75,0,0
325,125,0,0
325,175,0,0
325,225,0,0
325,275,0,0
325,325,0,0
325,375,0,0
325,425,0,0
325,475,0,0
325,525,2,0
325,575,66,1
325,625,0,0
325,675,0,0
325,725,0,0
325,775,0,0
325,825,0,0
325,875,0,0
325,925,0,0
325,975,0,0
375,25,0,136
375,75,0,0
375,125,0,0
375,175,0,0
375,225,0,0
375,275,0,0
375,325,0,0
375,375,0,0
375,425,0,0
375,475,0,0
375,525,3,0
375,575,12,0
375,625,0,0
375,675,0,0
375,725,0,0
375,775,0,0
375,825,0,0
375,875,0,0
375,925,0,0
375,975,0,0
425,25,0,539
425,75,0,0
425,125,0,0
425,175,0,0
425,225,0,0
425,275,0,0
425,325,0,1
425,375,92,13
425,425,0,0
425,475,0,0
425,525,0,0
425,575,38,0
425,625,5,0
425,675,0,0
425,725,0,0
425,775,0,0
425,825,0,0
425,875,0,0
425,925,0,0
425,975,0,0
475,25,0,2700
475,75,0,484
475,125,0,273
475,175,0,54
475,225,0,55
475,275,0,52
475,325,0,53
475,375,0,21
475,425,112,15
475,475,42,2
475,525,0,0
475,575,0,0
475,625,0,0
475,675,0,0
475,725,0,0
475,775,0,0
475,825,0,0
475,875,0,0
475,925,0,0
475,975,0,0
525,25,0,1432
525,75,0,342
525,125,0,390
525,175,0,77
525,225,0,64
525,275,0,60
525,325,2,59
525,375,17,51
525,425,190,36
525,475,19,0
525,525,0,0
525,575,0,0
525,625,0,0
525,675,0,0
525,725,0,0
525,775,0,0
525,825,0,0
525,875,0,0
525,925,0,0
525,975,0,0
575,25,0,41
575,75,0,0
575,125,0,0
575,175,0,0
575,225,0,12
575,275,0,17
575,325,30,1
575,375,54,10
575,425,37,2
575,475,0,0
575,525,0,0
575,575,0,0
575,625,0,0
575,675,0,0
575,725,0,0
575,775,0,0
575,825,0,0
575,875,0,0
575,925,0,0
575,975,0,0
625,25,0,0
625,75,0,0
625,125,0,0
625,175,0,0
625,225,0,0
625,275,0,0
625,325,0,0
625,375,0,0
625,425,0,0
625,475,0,0
625,525,0,0
625,575,0,0
625,625,0,0
625,675,0,0
625,725,0,0
625,775,0,0
625,825,0,0
625,875,0,0
625,925,0,0
625,975,0,0
675,25,0,0
675,75,0,0
675,125,0,0
675,175,0,0
675,225,0,0
675,275,0,0
675,325,30,0
675,375,101,44
675,425,0,0
675,475,0,0
675,525,0,0
675,575,0,0
675,625,0,0
675,675,0,0
675,725,0,0
675,775,0,0
675,825,0,0
675,875,0,0
675,925,0,0
675,975,0,0
725,25,0,0
725,75,0,0
725,125,0,0
725,175,0,0
725,225,0,0
725,275,0,0
725,325,0,0
725,375,0,90
725,425,0,44
725,475,0,0
725,525,0,0
